"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
"IL1A"	0.00034065131734726	1.40037120029738	0.314	0.088	1	"3"	"IL1A"	0.0727047240166867
"GXYLT1"	0.000476428702628014	1.12319471114127	0.176	0.019	1	"3"	"GXYLT1"	0.0942067696402394
"TPT1.PS5"	0.000489454993821945	1.08216013551731	0.137	0.006	1	"3"	"TPT1.PS5"	0.0953798818395634
"GM7363"	0.000511598617485784	0.875216406220509	0.137	0.006	1	"3"	"GM7363"	0.0968866902917443
"FAM46C"	0.00054195748496891	1.02739553740348	0.275	0.063	1	"3"	"FAM46C"	0.101210560317944
"CLEC7A"	0.000571161530769248	0.559849707714142	0.078	0	1	"3"	"CLEC7A"	0.104286754969647
"GM6159"	0.00057394168286136	1.28679407010984	0.176	0.019	1	"3"	"GM6159"	0.104286754969647
"GM6276"	0.000668684774942209	0.460644667821707	0.078	0	1	"3"	"GM6276"	0.119881806451639
"GM4799"	0.000713180372007118	0.49721398748675	0.078	0	1	"3"	"GM4799"	0.125924142951742
"SC5D"	0.000721118474437316	0.504297706069946	0.078	0	1	"3"	"SC5D"	0.125924142951742
"GM14056"	0.00074833173266829	0.481033722777292	0.078	0	1	"3"	"GM14056"	0.129000877916126
"GM6230"	0.000831468047092273	0.609757728790152	0.078	0	1	"3"	"GM6230"	0.141517966597503
"MIR22HG"	0.000874532404786394	0.751792983742687	0.078	0	1	"3"	"MIR22HG"	0.145397563459765
"TPT1.PS2"	0.000878398588325953	0.523221376273792	0.078	0	1	"3"	"TPT1.PS2"	0.145397563459765
"GM12035"	0.000914601124368636	0.787224588028462	0.078	0	1	"3"	"GM12035"	0.145397563459765
"EVI2A"	0.000920405543512439	1.07193098647569	0.471	0.214	1	"3"	"EVI2A"	0.145397563459765
"SMAD7"	0.000940595383306554	1.06128047391052	0.235	0.05	1	"3"	"SMAD7"	0.145397563459765
"SERTAD1"	0.000945103841163965	1.21700568857462	0.118	0.006	1	"3"	"SERTAD1"	0.145397563459765
"STXBP3.PS"	0.000952015629231389	0.753210474058664	0.078	0	1	"3"	"STXBP3.PS"	0.145397563459765
"GM8326"	0.000967462253913307	0.964899333224188	0.157	0.019	1	"3"	"GM8326"	0.145397563459765
"CEBPB"	0.00098038758358544	0.810286703959433	0.392	0.151	1	"3"	"CEBPB"	0.145397563459765
"1810032O08RIK"	0.00105555073828838	0.828298157813966	0.078	0	1	"3"	"1810032O08RIK"	0.149767584076291
"GOLGB1"	0.00105748934315141	1.1135120731176	0.275	0.069	1	"3"	"GOLGB1"	0.149767584076291
"FUNDC1"	0.00105815264667914	0.722508955196846	0.078	0	1	"3"	"FUNDC1"	0.149767584076291
"RP23.312A24.1"	0.00109057499322504	0.578684210218829	0.078	0	1	"3"	"RP23.312A24.1"	0.151173931535092
"GM11703"	0.00112395577185002	0.628223118400252	0.078	0	1	"3"	"GM11703"	0.151693236701526
"GM28530"	0.0011470538328825	0.607368557410895	0.078	0	1	"3"	"GM28530"	0.151693236701526
"RBM38"	0.00114964789155798	0.753728878276646	0.078	0	1	"3"	"RBM38"	0.151693236701526
"GM5110"	0.0011590448149582	0.639088194593852	0.078	0	1	"3"	"GM5110"	0.151693236701526
"VMP1"	0.00116840750634872	0.908755692148915	0.216	0.044	1	"3"	"VMP1"	0.151693236701526
"GM6375"	0.00117091309807884	0.719974978041694	0.078	0	1	"3"	"GM6375"	0.151693236701526
"GM13047"	0.00118174628547903	0.642739224069184	0.078	0	1	"3"	"GM13047"	0.151693236701526
"GPX1"	0.00118881609483519	1.14050113415832	0.529	0.264	1	"3"	"GPX1"	0.151693236701526
"GM15732"	0.00119585624649426	0.664968869351039	0.078	0	1	"3"	"GM15732"	0.151693236701526
"IER5"	0.0012196605435121	0.94219484475778	0.569	0.314	1	"3"	"IER5"	0.153266875402465
"PMM1"	0.00123661644926967	0.885675008430067	0.078	0	1	"3"	"PMM1"	0.153958747934074
"MCL1"	0.0012612834236713	1.0489940628361	0.392	0.164	1	"3"	"MCL1"	0.155589146006278
"FTH.PS3"	0.00127765473018628	1.01322574014468	0.196	0.031	1	"3"	"FTH.PS3"	0.155978605562619
"BRD2"	0.00128764132213674	0.915401159597115	0.255	0.063	1	"3"	"BRD2"	0.155978605562619
"GM6170"	0.00133442046039786	1.07188024636775	0.157	0.025	1	"3"	"GM6170"	0.160201942058122
"NOP14"	0.00144055818598726	1.22957730180037	0.157	0.019	1	"3"	"NOP14"	0.171413675829954
"H2.D1"	0.00161656025870471	0.491550740120193	0.686	0.409	1	"3"	"H2.D1"	0.187381631366755
"CD14"	0.00166757529470266	1.25387680722759	0.373	0.17	1	"3"	"CD14"	0.188914052057909
"GM5292"	0.0017219829966096	1.03187798413688	0.137	0.013	1	"3"	"GM5292"	0.191353581590187
"HSPA5"	0.00174784823968155	0.662820399325244	0.706	0.44	1	"3"	"HSPA5"	0.192635798612771
"GM5160"	0.00188809835281194	0.950978695208254	0.255	0.082	1	"3"	"GM5160"	0.203979098617966
"GM14747"	0.00194179121099953	0.977272805742456	0.216	0.057	1	"3"	"GM14747"	0.203979098617966
"GM15400"	0.00200376836875702	0.873730030577409	0.137	0.019	1	"3"	"GM15400"	0.208857902994627
