"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
2.29898297133773e-08	1.63367729434566	0.353	0	0.000309121250326071	"4"	"EIF2B1"	8.74546268252046e-06
2.34148933936291e-08	1.91067789006157	0.588	0.033	0.000314836656570737	"4"	"SLC48A1"	8.74546268252046e-06
2.43974223072927e-08	1.43358786090358	0.353	0	0.000328047740343857	"4"	"SEMA5A"	8.86615514442857e-06
2.96663829752915e-08	2.84829034466922	0.588	0.043	0.00039889418548577	"4"	"CRYAB"	1.04972154075203e-05
3.17373073854555e-08	1.30152934063881	0.353	0	0.000426739835104835	"4"	"DAB1"	1.06684958776209e-05
3.75924867955147e-08	1.42243407949253	0.353	0	0.000505468577452491	"4"	"NMRAL1"	1.20850510200238e-05
3.77489322356834e-08	1.49523801558065	0.353	0	0.000507572142840999	"4"	"CDC42BPA"	1.20850510200238e-05
3.92480857030337e-08	1.44960229683648	0.353	0	0.000527729760362991	"4"	"RHOBTB3"	1.22727851247207e-05
4.12110217140795e-08	1.52676706395999	0.353	0	0.000554123397967514	"4"	"ARHGEF10"	1.25937135901708e-05
4.22372525632362e-08	1.72517312739581	0.353	0	0.000567922097965274	"4"	"ADAMTS4"	1.2620491065895e-05
1.0060965329176e-07	2.32019885386444	0.706	0.262	0.00135279739816101	"4"	"SEPT7"	2.87829233651278e-05
1.0552100536269e-07	1.99191523731205	0.471	0.014	0.00141883543810673	"4"	"S100B"	2.95590716272235e-05
1.26302693592471e-07	1.53928173364313	0.412	0.005	0.00169826601804437	"4"	"SOGA3"	3.46584901641708e-05
1.36444005053019e-07	1.47247377847382	0.412	0.005	0.0018346260919429	"4"	"CDKN2D"	3.66925218388579e-05
1.85403398156681e-07	3.17288566825854	0.529	0.048	0.00249293409161473	"4"	"APOD"	4.88810606198966e-05
1.94785417812774e-07	1.86575096595274	0.412	0.01	0.00261908472791057	"4"	"OTUD7B"	5.03670139982801e-05
2.73889477405485e-07	2.0632562174509	0.412	0.01	0.00368271791319416	"4"	"TSPAN2"	6.94852436451728e-05
2.92772965596393e-07	1.78547324412154	0.471	0.019	0.0039366252954091	"4"	"PDE6D"	7.29004684335018e-05
3.52899670294605e-07	1.44577059359519	0.471	0.019	0.00474508896678126	"4"	"SRA1"	8.62743448505684e-05
3.77279258708248e-07	1.28976612986934	0.412	0.01	0.0050728969125911	"4"	"SLC20A2"	9.05874448676983e-05
3.9845119467573e-07	1.57017382784879	0.529	0.033	0.00535757476360987	"4"	"CHPT1"	9.23719786829288e-05
4.63645588296765e-07	1.15963689395907	0.294	0	0.0062341785802383	"4"	"1700063D05RIK"	0.000102199648856366
4.63645588296765e-07	0.99982648070704	0.294	0	0.0062341785802383	"4"	"IFT80"	0.000102199648856366
4.63645588296765e-07	0.99982648070704	0.294	0	0.0062341785802383	"4"	"KLF11"	0.000102199648856366
5.01016963509076e-07	2.28357839953033	0.706	0.162	0.00673667409134303	"4"	"MBP"	0.000108656033731339
5.66196148443779e-07	2.55509741550673	0.588	0.076	0.00761307341197505	"4"	"MAG"	0.000119705479145152
5.69771728788467e-07	1.56617338042864	0.294	0	0.00766115066528972	"4"	"ABHD18"	0.000119705479145152
6.29453189625715e-07	1.08196648694241	0.294	0	0.00846362758770736	"4"	"TNFAIP6"	0.000130209655195498
6.75356697698977e-07	1.44008906457082	0.412	0.01	0.00908084615726044	"4"	"OMG"	0.000136832480855786
6.81821821905224e-07	1.44454401916655	0.294	0	0.00916777621733763	"4"	"ZFP286"	0.000136832480855786
7.85364793064151e-07	1.09683261020009	0.294	0	0.0105600150075406	"4"	"SERPIND1"	0.000148066782716714
7.85364793064151e-07	1.09683261020009	0.294	0	0.0105600150075406	"4"	"STAT5A"	0.000148066782716714
8.04597621292943e-07	1.65864740256221	0.471	0.024	0.0108186196159049	"4"	"CEPT1"	0.000148066782716714
8.21566788715946e-07	1.56275130676433	0.294	0	0.0110467870410746	"4"	"RCAN3"	0.000148066782716714
8.56965283918644e-07	1.46057535114052	0.294	0	0.0115227552075701	"4"	"CRNDE"	0.000148066782716714
8.67877291534428e-07	1.54204006442827	0.294	0	0.0116694780619719	"4"	"ADAMTSL4"	0.000148066782716714
8.67877291534428e-07	1.27330129514975	0.294	0	0.0116694780619719	"4"	"LHFPL4"	0.000148066782716714
8.69196024234147e-07	1.16997901348573	0.294	0	0.0116872097418523	"4"	"ENHO"	0.000148066782716714
8.90711171928728e-07	1.44409984023355	0.294	0	0.0119765024177537	"4"	"TRMT61A"	0.000148066782716714
9.0003807411199e-07	1.30591815754892	0.294	0	0.0121019119445098	"4"	"SOX8"	0.000148066782716714
9.00486350200635e-07	1.18157717559397	0.294	0	0.0121079394647977	"4"	"SPOCK1"	0.000148066782716714
9.0645531808782e-07	1.5468948924578	0.294	0	0.0121881982070088	"4"	"ZFP365"	0.000148066782716714
9.07218973920428e-07	1.31553355538217	0.294	0	0.0121984663233341	"4"	"CNN3"	0.000148066782716714
9.08593283741649e-07	1.51544309353257	0.294	0	0.0122169452931902	"4"	"GALNT6"	0.000148066782716714
9.13992485905644e-07	1.32085942293019	0.294	0	0.0122895429654873	"4"	"MTFR1"	0.000148066782716714
9.13992485905644e-07	1.32085942293019	0.294	0	0.0122895429654873	"4"	"UNC5B"	0.000148066782716714
9.44061120714667e-07	1.81610491835686	0.471	0.024	0.0126938458291294	"4"	"CMTM5"	0.000151117212251541
1.1213982609453e-06	1.49804521397657	0.471	0.024	0.0150783210166705	"4"	"TIMM17A"	0.00017543795214588
1.12209310460699e-06	2.89964511300026	0.529	0.057	0.0150876638845456	"4"	"CAR2"	0.00017543795214588
1.13652556648538e-06	1.53370202692183	0.588	0.062	0.0152817227669625	"4"	"GPATCH8"	0.000175651985827155
1.50878145335721e-06	1.80506190775957	0.529	0.043	0.020287075421841	"4"	"GPM6B"	0.000230534947975466
1.61038399344554e-06	1.32855289726326	0.353	0.005	0.0216532231758688	"4"	"CYSTM1"	0.000240591368620764
1.66813603481686e-06	1.76894388041082	0.471	0.029	0.0224297571241475	"4"	"JAM3"	0.000246480847518104
1.71921011912472e-06	1.70838915279439	0.353	0.005	0.023116499261751	"4"	"TMEM88B"	0.00025126629632338
1.80355600973039e-06	1.81005335501871	0.471	0.029	0.0242506141068348	"4"	"AIG1"	0.00025798525645569
